journalPath,locale,versionIdentifier,version,articlePrefix,articleTitle,articleSubtitle,articleAbstract,authors,keywords,subjects,coverage,categories,doi,coverImageFilename,coverImageAltText,galleyFilenames,galleyLabels,suppFilenames,suppLabels,sectionTitle,sectionAbbrev,issueTitle,issueVolume,issueNumber,issueYear,issueDescription,datePublished,startPage,endPage,copyrightYear,copyrightHolder,licenseUrl,references
liv,en_US,complex-001,3,CX,Complex Multi-Version Multi-Locale Article (EN),Version 3 - English - Final Edition,"This is the final Version 3 in English. It represents the most complete and comprehensive edition with all findings, updates, and conclusions.","Michael,Brown,michael.brown@complex.edu,Department of Complex Studies;Emma,Davis,emma.davis@complex.edu,Department of Complex Studies;Frank,Wilson,frank.wilson@complex.edu,Department of Complex Studies;Grace,Lee,grace.lee@complex.edu,Department of Complex Studies",complexity;versioning;localization;internationalization;final edition;comprehensive,software engineering;research methodology;advanced studies;conclusions,global,Research Articles;Advanced Studies;Final Editions,10.1234/complex001-v3,cover-complex-v3.png,Final Complex System Diagram,article-complex-v3-en.pdf,PDF,supp-complex-v3.pdf;data-complex-v3.xlsx;code-complex-v3.zip,Supplement;Dataset;Code Repository,Research,RES,,,,,,2024-10-01,49,95,2024,Public Knowledge Project,https://creativecommons.org/licenses/by-nc/4.0,refs-complex-v3.txt
liv,pt_BR,complex-001,3,CX,Artigo Complexo Multi-Versão Multi-Idioma (PT),Versão 3 - Português - Edição Final,"Esta é a Versão 3 final em português. Representa a edição mais completa e comprensiva com todos os resultados, atualizações e conclusões.","Michael,Brown,michael.brown@complex.edu,Departamento de Estudos Complexos;Emma,Davis,emma.davis@complex.edu,Departamento de Estudos Complexos;Frank,Wilson,frank.wilson@complex.edu,Departamento de Estudos Complexos;Grace,Lee,grace.lee@complex.edu,Departamento de Estudos Complexos",complexidade;versionamento;localização;internacionalização;edição final;comprensivo,engenharia de software;metodologia de pesquisa;estudos avançados;conclusões,global,,,,,,,,,,,,,,,,2024-10-01,,,,,,
liv,en_US,partial-fields-001,1,,Article With Partial Version Updates,First Version,This article demonstrates how later versions can omit fields and inherit from previous versions. Version 1 has all fields populated.,"Oliver,Martinez,oliver.martinez@partial.edu,Department of Minimalism",partial updates;inheritance;efficiency,software development;best practices,global,Research Articles,10.1234/partial001-v1,,,article-partial-v1.pdf,PDF,,,Articles,ART,Software Engineering Practices,3,1,2024,Best practices in software development,2024-06-01,1,15,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,
liv,en_US,partial-fields-001,2,,Article With Partial Version Updates: Minor Revision,,"Version 2 only updates the title and subtitle. All other fields (abstract, authors, keywords, etc.) are inherited from Version 1. This is efficient for minor updates.",,,,,,,,,,,,,,,,,2024-06-15,,,,,,,,,
liv,en_US,partial-fields-001,3,PF,Article With Partial Version Updates: Major Revision,Enhanced Edition,"Version 3 adds a prefix, updates title/subtitle, and adds new keywords. Abstract and authors are still inherited from Version 1.","Oliver,Martinez,oliver.martinez@partial.edu,Department of Minimalism;Patricia,Johnson,patricia.johnson@partial.edu,Department of Minimalism",partial updates;inheritance;efficiency;major revision;enhanced,software development;best practices;advanced techniques,,,,,,,,,,,,,,,,,2024-09-01,1,22,,,,
liv,en_US,mixed-locale-version-001,1,,Mixed Scenario Article (English),Combining Locales and Versions,This article shows a mixed scenario where some versions have multiple locales and some don't. Version 1 has both English and Brazilian Portuguese.,"Robert,Thompson,robert.thompson@mixed.edu,Institute of Mixed Methods",mixed scenarios;flexibility;real world,research design;methodology,global,Research Articles,10.1234/mixed001-v1,,,article-mixed-v1-en.pdf,PDF,,,Articles,ART,Flexible Research Methods,3,2,2024,Demonstrating flexible import scenarios,2024-07-15,16,30,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,
liv,pt_BR,mixed-locale-version-001,1,,Artigo de Cenário Misto (Português),Combinando Idiomas e Versões,Este artigo mostra um cenário misto onde algumas versões têm múltiplos idiomas e outras não. A Versão 1 tem inglês e português brasileiro.,"Robert,Thompson,robert.thompson@mixed.edu,Instituto de Métodos Mistos",cenários mistos;flexibilidade;mundo real,design de pesquisa;metodologia,global,,,,,,,,,,,Flexible Research Methods,3,2,2024,,2024-07-15,,,,,,
liv,en_US,mixed-locale-version-001,2,,Mixed Scenario Article: Updated,Enhanced with New Methods,"Version 2 only exists in English, showing that not all versions need all locales. This is realistic for situations where translations are added gradually.","Robert,Thompson,robert.thompson@mixed.edu,Institute of Mixed Methods;Sarah,Miller,sarah.miller@mixed.edu,Institute of Mixed Methods",mixed scenarios;flexibility;real world;updates,research design;methodology;advanced methods,,,,,,,,,,,,,,,,,2024-09-15,16,38,,,,
liv,en_US,only-en-multiloc-001,1,,Article Starting with Single Locale,Only English Initially,"This article starts with only English in Version 1, but Version 2 adds Brazilian Portuguese locale, showing gradual internationalization.","Thomas,Anderson,thomas.anderson@gradual.edu,Department of International Studies",gradual;internationalization;single locale initially,international relations;global studies,global,Research Articles,10.1234/gradual001-v1,,,article-gradual-v1.pdf,PDF,,,Articles,ART,International Perspectives,3,3,2024,Global research perspectives,2024-08-01,31,45,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,
liv,en_US,only-en-multiloc-001,2,,Article Starting with Single Locale: International Edition,Now Available in Multiple Languages,Version 2 marks the article's expansion to international audiences by adding Brazilian Portuguese language version.,"Thomas,Anderson,thomas.anderson@gradual.edu,Department of International Studies;Maria,Rodriguez,maria.rodriguez@gradual.edu,Department of International Studies",gradual;internationalization;multilingual expansion,international relations;global studies;multilingual research,,,,,,,,,,,,,,,,,2024-10-15,31,52,,,,
liv,pt_BR,only-en-multiloc-001,2,,Artigo que Comença com um Único Idioma: Edição Internacional,Agora Disponível em Múltiplos Idiomas,A Versão 2 marca a expansão do artigo para audiências internacionais ao adicionar a versão em português brasileiro.,"Thomas,Anderson,thomas.anderson@gradual.edu,Departamento de Estudos Internacionais;Maria,Rodriguez,maria.rodriguez@gradual.edu,Departamento de Estudos Internacionais",gradual;internacionalização;expansão multilíngue,relações internacionais;estudos globais;pesquisa multilíngue,global,,,,,,,,,,,,,,,,2024-10-15,,,,,,
liv,en_US,same-issue-diff-articles-001,1,,First Article in Same Issue,Article A,Multiple different articles can be in the same issue. This is Article A.,"William,Harris,william.harris@issue.edu,Issue Research Center",same issue;multiple articles;article A,journal publishing;issue management,global,Research Articles,10.1234/issue001-a,,,article-issue-a.pdf,PDF,,,Articles,ART,Special Issue on Publishing,4,1,2024,Multiple articles in one issue,2024-11-01,1,12,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,
liv,en_US,same-issue-diff-articles-002,1,,Second Article in Same Issue,Article B,"This is Article B, in the same issue as Article A but completely separate submission.","Linda,White,linda.white@issue.edu,Issue Research Center",same issue;multiple articles;article B,journal publishing;issue management,global,Research Articles,10.1234/issue001-b,,,article-issue-b.pdf,PDF,,,Articles,ART,Special Issue on Publishing,4,1,2024,Multiple articles in one issue,2024-11-01,13,24,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,
liv,en_US,same-issue-diff-articles-003,1,,Third Article in Same Issue,Article C,"This is Article C, also in the same issue. It demonstrates that multiple unrelated articles can share an issue.","Richard,Taylor,richard.taylor@issue.edu,Issue Research Center",same issue;multiple articles;article C,journal publishing;issue management,global,Research Articles,10.1234/issue001-c,,,article-issue-c.pdf,PDF,,,Articles,ART,Special Issue on Publishing,4,1,2024,Multiple articles in one issue,2024-11-01,25,38,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,
liv,en_US,inheritance-demo-001,1,,Field Inheritance Demonstration,Version 1 with Full Data,"This article demonstrates how fields are inherited across versions. Version 1 has complete data including abstract, authors, keywords, subjects, coverage, and categories.","James,Wilson,james.wilson@inherit.edu,Department of Inheritance Studies;Jennifer,Moore,jennifer.moore@inherit.edu,Department of Inheritance Studies",inheritance;version control;field propagation;original,software design;data management,North America,Research Articles;Data Science,10.1234/inherit001-v1,cover-inherit.png,Inheritance Diagram,article-inherit-v1.pdf,PDF,data-inherit-v1.json,Dataset,Research,RES,Data Management Research,4,2,2024,Studies in data and version management,2024-11-15,39,55,2024,Public Knowledge Project,https://creativecommons.org/licenses/by-nc-sa/4.0,refs-inherit-v1.txt
liv,en_US,inheritance-demo-001,2,,Field Inheritance Demonstration: Title Update Only,,"Version 2 ONLY changes the title and subtitle. Everything else (abstract, authors, keywords, subjects, coverage, categories, DOI, cover image, galleys) is inherited from Version 1. No files are re-uploaded.",,,,,,,,,,,,,,,,,,,2024-12-01,,,,,,,
liv,en_US,inheritance-demo-001,3,INH,Field Inheritance Demonstration: Comprehensive Update,Version 3 with Extended Analysis,"Version 3 adds prefix, updates title/subtitle/abstract, adds a new author, expands keywords and subjects. Other fields like coverage, categories, and cover image are still inherited from Version 1.","James,Wilson,james.wilson@inherit.edu,Department of Inheritance Studies;Jennifer,Moore,jennifer.moore@inherit.edu,Department of Inheritance Studies;Daniel,Clark,daniel.clark@inherit.edu,Department of Inheritance Studies",inheritance;version control;field propagation;original;extended;comprehensive,software design;data management;advanced techniques;version systems,,,,,,,,,,,,,,,,,2025-01-15,39,68,2025,,,
liv,en_US,bilingual-research-001,1,,Bilingual Research Article,English and Portuguese from Start,This article demonstrates a bilingual publication strategy where content is published simultaneously in English and Brazilian Portuguese from the first version.,"Ana,Silva,ana.silva@bilingual.edu,Department of Bilingual Studies;John,Smith,john.smith@bilingual.edu,Department of Bilingual Studies",bilingual;simultaneous translation;dual language,comparative studies;language research,global,Research Articles;Linguistics,10.1234/bilingual001-v1,cover-bilingual.png,Bilingual Communication,article-bilingual-v1-en.pdf,PDF,supplement-bilingual.pdf,Supplement,Research,RES,Bilingual Research Journal,4,3,2024,Research in English and Portuguese,2024-12-01,39,52,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,refs-bilingual.txt
liv,pt_BR,bilingual-research-001,1,,Artigo de Pesquisa Bilíngue,Inglês e Português desde o Início,Este artigo demonstra uma estratégia de publicação bilíngue onde o conteúdo é publicado simultaneamente em inglês e português brasileiro desde a primeira versão.,"Ana,Silva,ana.silva@bilingual.edu,Departamento de Estudos Bilíngues;John,Smith,john.smith@bilingual.edu,Departamento de Estudos Bilíngues",bilíngue;tradução simultânea;idioma duplo,estudos comparativos;pesquisa linguística,global,,,,,,,,,,,Bilingual Research Journal,4,3,2024,,2024-12-01,,,,,,
liv,en_US,bilingual-research-001,2,,Bilingual Research Article: Extended Edition,Expanded Analysis in Both Languages,"Version 2 adds new findings and expanded analysis, maintaining the bilingual approach with simultaneous updates in both English and Portuguese.","Ana,Silva,ana.silva@bilingual.edu,Department of Bilingual Studies;John,Smith,john.smith@bilingual.edu,Department of Bilingual Studies;Carlos,Mendes,carlos.mendes@bilingual.edu,Department of Bilingual Studies",bilingual;simultaneous translation;dual language;expanded;comprehensive,comparative studies;language research;advanced linguistics,,,,,,,,,,,,,,,,,2024-12-20,39,65,,,,
liv,pt_BR,bilingual-research-001,2,,Artigo de Pesquisa Bilíngue: Edição Estendida,Análise Expandida em Ambos os Idiomas,"A Versão 2 adiciona novos resultados e análise expandida, mantendo a abordagem bilíngue com atualizações simultâneas em inglês e português.","Ana,Silva,ana.silva@bilingual.edu,Departamento de Estudos Bilíngues;John,Smith,john.smith@bilingual.edu,Departamento de Estudos Bilíngues;Carlos,Mendes,carlos.mendes@bilingual.edu,Departamento de Estudos Bilíngues",bilíngue;tradução simultânea;idioma duplo;expandido;abrangente,estudos comparativos;pesquisa linguística;linguística avançada,global,,,,,,,,,,,,,,,,2024-12-20,,,,,,
